id_repuesto,repuesto_descripcion,categoria,marca,modelo,proveedor_tipo,proveedor_id,proveedor_nombre,proveedor_rating,costo_unitario,moneda,stock_disponible,lead_time_dias,ubicacion_stock,cantidad_minima_pedido,tiempo_vida_estimado_hrs,nota
R-0001,Rodamiento rígido de bolas 6204 2RS,RODAMIENTO,SKF,6204-2RS,INTERNAL,INT-ALM-CENTRAL,Almacén Central,5,8.50,USD,24,1,Depósito Central,1,10000,Stock crítico para motores eléctricos pequeños
R-0001,Rodamiento rígido de bolas 6204 2RS,RODAMIENTO,SKF,6204-2RS,EXTERNAL,PRV-001,Distribuidora Rodamax,4,7.90,USD,100,5,Prov. Buenos Aires,5,10000,Descuento por compras mayores a 50 unidades
R-0001,Rodamiento rígido de bolas 6204 2RS,RODAMIENTO,GENERICA,6204-2RS,EXTERNAL,PRV-002,Importadora GenBearing,3,5.40,USD,300,10,China (via Bs.As.),10,8000,Opción económica, mayor lead time
R-0002,Filtro de aceite motor diésel 3/4',FILTRO,MANN,WD940/25,INTERNAL,INT-ALM-CENTRAL,Almacén Central,5,12.00,USD,10,1,Depósito Central,1,500,Usado en generadores grupo A
R-0002,Filtro de aceite motor diésel 3/4',FILTRO,MANN,WD940/25,EXTERNAL,PRV-003,Proveedor Motores Sur,4,11.20,USD,40,4,Neuquén,2,500,Proveedor habitual de la flota
R-0003,Correa trapezoidal SPA 1200,CORREA,GATES,SPA1200,INTERNAL,INT-ALM-SEDE2,Almacén Sede 2,4,6.30,USD,5,2,Depósito Sede 2,1,2000,Stock limitado, revisar reposición
R-0003,Correa trapezoidal SPA 1200,CORREA,GATES,SPA1200,EXTERNAL,PRV-004,Cintas Industriales SRL,5,5.90,USD,80,3,Córdoba,3,2000,Entrega rápida, buen historial
R-0004,Sensor de temperatura PT100 4mm x 100mm,SENSOR,Siemens,PT100-4X100,INTERNAL,INT-ALM-CENTRAL,Almacén Central,5,35.00,USD,3,1,Depósito Central,1,20000,Repuesto crítico para hornos
R-0004,Sensor de temperatura PT100 4mm x 100mm,SENSOR,Siemens,PT100-4X100,EXTERNAL,PRV-005,Automatización del Sur,4,32.50,USD,15,7,Rosario,2,20000,Puede requerir calibración
R-0005,Bomba centrífuga 3 HP eje horizontal,BOMBA,Wilo,W-3HP-H,EXTERNAL,PRV-006,Bombas Industriales SA,5,420.00,USD,4,12,San Martín (GBA),1,30000,No se maneja en stock interno
R-0006,Kit sello mecánico bomba 3 HP,BOMBA,Wilo,SM-W-3HP,INTERNAL,INT-ALM-CENTRAL,Almacén Central,5,65.00,USD,6,1,Depósito Central,1,15000,Compatible con bomba R-0005
R-0006,Kit sello mecánico bomba 3 HP,BOMBA,Wilo,SM-W-3HP,EXTERNAL,PRV-006,Bombas Industriales SA,5,59.00,USD,20,10,San Martín (GBA),1,15000,Recomendado comprar junto con bomba
R-0007,Cartucho filtro de aire compresor 250 m3/h,FILTRO,Atlas Copco,AC-250,INTERNAL,INT-ALM-CENTRAL,Almacén Central,4,28.00,USD,0,0,Depósito Central,1,1000,Sin stock, pendiente de reponer
R-0007,Cartucho filtro de aire compresor 250 m3/h,FILTRO,Atlas Copco,AC-250,EXTERNAL,PRV-007,Compresores Patagónicos,5,26.50,USD,12,6,Comodoro Rivadavia,2,1000,Proveedor recomendado por servicio técnico
R-0008,Contacto auxiliar para guardamotor 1NA+1NC,ELECTRICO,Schneider,GVAN11,INTERNAL,INT-ALM-SEDE2,Almacén Sede 2,4,9.80,USD,15,1,Depósito Sede 2,1,5000,Usado en tableros de fuerza
R-0008,Contacto auxiliar para guardamotor 1NA+1NC,ELECTRICO,Schneider,GVAN11,EXTERNAL,PRV-008,Materiales Eléctricos Centro,3,9.20,USD,50,3,Mendoza,5,5000,Requiere compra mínima de 5 unidades
R-0009,Kit mantenimiento válvula neumática 1/2',NEUMATICA,Festo,KM-VALV-12,EXTERNAL,PRV-009,Neumática Industrial SA,5,48.00,USD,30,5,Buenos Aires,1,8000,Opción principal para mantenimiento de línea neumática
R-0010,Manómetro glicerina 0-16 bar 1/4',INSTRUMENTO,Genérico,MAN-016BAR,INTERNAL,INT-ALM-CENTRAL,Almacén Central,3,14.00,USD,2,1,Depósito Central,1,4000,Stock bajo, considerar compra
R-0010,Manómetro glicerina 0-16 bar 1/4',INSTRUMENTO,Genérico,MAN-016BAR,EXTERNAL,PRV-010,Mediciones y Control SRL,4,13.50,USD,25,4,La Plata,1,4000,Mejor precio y lead time aceptable
R-0011,Relé térmico 4-6 A para motor 3 kW,ELECTRICO,Siemens,3RU2116-4AB0,INTERNAL,INT-ALM-CENTRAL,Almacén Central,5,52.00,USD,7,1,Depósito Central,1,15000,Critico para protecciones de motor
R-0011,Relé térmico 4-6 A para motor 3 kW,ELECTRICO,Siemens,3RU2116-4AB0,EXTERNAL,PRV-008,Materiales Eléctricos Centro,3,49.80,USD,10,3,Mendoza,1,15000,Proveedor alternativo
R-0012,Manguera hidráulica 1/2\' 2 m,MECANICO,Parker,H-HID-12-2M,EXTERNAL,PRV-011,Hidráulica del Oeste,5,75.00,USD,8,7,San Juan,1,6000,Se adquiere siempre externo
R-0013,Kit junta tapa bomba de vacío,BOMBA,Busch,KJ-BV-01,INTERNAL,INT-ALM-CENTRAL,Almacén Central,4,39.00,USD,4,1,Depósito Central,1,5000,Repuesto habitual en mantenimiento anual
R-0013,Kit junta tapa bomba de vacío,BOMBA,Busch,KJ-BV-01,EXTERNAL,PRV-012,Vacuumparts SA,5,36.50,USD,15,9,Buenos Aires,1,5000,Proveedor con soporte técnico especializado
R-0014,Variador de frecuencia 2.2 kW trifásico,ELECTRICO,Schneider,ATV12-2.2,INTERNAL,INT-ALM-CENTRAL,Almacén Central,5,285.00,USD,2,1,Depósito Central,1,30000,Usado en cintas transportadoras
R-0014,Variador de frecuencia 2.2 kW trifásico,ELECTRICO,Schneider,ATV12-2.2,EXTERNAL,PRV-005,Automatización del Sur,4,270.00,USD,6,7,Rosario,1,30000,Incluye soporte técnico
R-0015,Interruptor automático curva C 32 A,ELECTRICO,ABB,S203-C32,INTERNAL,INT-ALM-SEDE2,Almacén Sede 2,4,18.00,USD,10,1,Depósito Sede 2,1,15000,Elemento común en tableros
R-0015,Interruptor automático curva C 32 A,ELECTRICO,ABB,S203-C32,EXTERNAL,PRV-008,Materiales Eléctricos Centro,3,16.80,USD,40,3,Mendoza,5,15000,Compra mínima 5 unidades
R-0016,Actuador neumático doble efecto NEUMAX 50,NEUMATICA,Neumax,ND-50,EXTERNAL,PRV-009,Neumática Industrial SA,5,120.00,USD,12,5,Buenos Aires,1,10000,Repuesto de válvulas de proceso
R-0017,Valvula esférica 1” acero inox,MECANICO,Genérico,VAL-INOX-1,INTERNAL,INT-ALM-CENTRAL,Almacén Central,4,22.00,USD,5,1,Depósito Central,1,20000,Para líneas de agua y químicos
R-0017,Valvula esférica 1” acero inox,MECANICO,Genérico,VAL-INOX-1,EXTERNAL,PRV-011,Hidráulica del Oeste,5,19.80,USD,50,6,San Juan,1,20000,Proveedor económico
